Sentença	Id	Index	Granularidade	Documento
gatilho c a praca sete amg so os assaltos	1	0	0	gatilho c a praca sete amg so os assaltos
0	1	-1	1	gatilho c a praca sete amg so os assaltos
na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco	2	0	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
pq n tinha essa maldade inves de ficar na praca de alimentacao	2	1	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
la	2	2	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila	2	3	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
1	2	-1	1	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande	3	0	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
2	3	-1	1	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
assaltaram duas casas aqui na minha rua e agora eu to com medinho	4	0	0	assaltaram duas casas aqui na minha rua e agora eu to com medinho
3	4	-1	1	assaltaram duas casas aqui na minha rua e agora eu to com medinho
sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente	5	0	0	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
4	5	-1	1	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
