Token	POS-Tag	OOV	Id	Index	Granularidade	Documento
gatilho	NOUN	1	1	0	0	gatilho c a praca sete amg so os assaltos
c	PUNCT	0	1	1	0	gatilho c a praca sete amg so os assaltos
a	DET	0	1	2	0	gatilho c a praca sete amg so os assaltos
praca	NOUN	1	1	3	0	gatilho c a praca sete amg so os assaltos
sete	NUM	0	1	4	0	gatilho c a praca sete amg so os assaltos
amg	PROPN	1	1	5	0	gatilho c a praca sete amg so os assaltos
so	PROPN	0	1	6	0	gatilho c a praca sete amg so os assaltos
os	DET	0	1	7	0	gatilho c a praca sete amg so os assaltos
assaltos	NOUN	1	1	8	0	gatilho c a praca sete amg so os assaltos
0	['NOUN', 'PUNCT', 'DET', 'NOUN', 'NUM', 'PROPN', 'PROPN', 'DET', 'NOUN']	[1, 0, 0, 1, 0, 1, 0, 0, 1]	1	0	1	gatilho c a praca sete amg so os assaltos
na	ADP	0	2	0	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
rodoviaria	PROPN	1	2	1	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
de	ADP	0	2	2	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
sp	PROPN	1	2	3	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
nao	PROPN	1	2	4	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
aguardem	VERB	1	2	5	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
proximo	ADJ	1	2	6	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
ao	ADP	0	2	7	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
portao	NOUN	1	2	8	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
de	ADP	0	2	9	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
embarque	NOUN	1	2	10	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
quase	ADV	0	2	11	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
